game_id,fiba_id,season,team_name,short_name,team_code,team_score,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,personal_fouls,fouls_drawn,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2798722,2798722,2026,Scarborough Shooting Stars,,SSS,91,30,73,41,23,47,48,7,26,26,24,31,77,13,30,43,22,8,15,3,16,25,46,11,23,21,9,scarborough shooting stars,Montreal Alliance,2026-05-15T23:30:00Z,1,11,24-31
2798734,2798734,2026,Scarborough Shooting Stars,,SSS,103,38,76,50,26,50,52,12,26,46,15,26,57,14,30,44,20,5,14,5,22,21,46,27,16,24,15,scarborough shooting stars,Winnipeg Sea Bears,2026-05-19T15:00:00Z,2,10,15-26
2798719,2798719,2026,Scarborough Shooting Stars,,SSS,107,38,86,44,28,53,52,10,33,30,21,28,75,22,37,59,15,9,16,5,19,17,52,25,19,25,23,scarborough shooting stars,Saskatoon Mamba,2026-05-21T15:00:00Z,3,14,21-28
2798738,2798738,2026,Scarborough Shooting Stars,,SSS,106,39,77,50,23,45,51,16,32,50,12,18,66,14,32,46,22,5,14,2,23,18,44,22,16,31,8,scarborough shooting stars,Calgary Surge,2026-05-29T01:30:00Z,4,7,12-18
2798748,2798748,2026,Scarborough Shooting Stars,,SSS,88,37,82,45,32,52,61,5,30,16,9,17,52,14,35,49,19,7,12,7,24,16,62,17,8,30,17,scarborough shooting stars,Saskatoon Mamba,2026-05-31T22:00:00Z,5,14,9-17
2798745,2798745,2026,Scarborough Shooting Stars,,SSS,96,35,79,44,22,49,44,13,30,43,13,15,86,16,36,52,26,4,17,6,17,15,34,19,15,38,8,scarborough shooting stars,Calgary Surge,2026-06-06T23:00:00Z,6,10,13-15
2798751,2798751,2026,Scarborough Shooting Stars,,SSS,104,39,79,49,25,47,53,14,32,43,12,13,92,17,24,41,24,8,12,2,20,14,46,30,20,31,7,scarborough shooting stars,Niagara River Lions,2026-06-10T23:00:00Z,7,10,12-13
2798760,2798760,2026,Scarborough Shooting Stars,,SSS,95,34,71,47,25,45,55,9,26,34,18,21,85,11,35,46,15,9,18,3,22,12,44,12,20,43,12,scarborough shooting stars,Edmonton Stingers,2026-06-14T01:00:00Z,8,12,18-21
2798770,2798770,2026,Scarborough Shooting Stars,,SSS,108,36,70,51,23,37,62,13,33,39,23,33,69,15,22,37,15,6,14,6,20,24,34,15,26,33,10,scarborough shooting stars,Vancouver Bandits,2026-06-16T02:00:00Z,9,12,23-33
2798762,2798762,2026,Scarborough Shooting Stars,,SSS,108,36,81,44,26,55,47,10,26,38,26,29,89,24,32,56,23,7,12,3,19,18,50,33,19,36,27,scarborough shooting stars,Ottawa BlackJacks,2026-06-19T23:30:00Z,10,10,26-29
